zombi,zombie
for us,untuk kita
for the first time,untuk pertama kali ini
for,untuk
folow,ikuti
follow,ikuti
FLU,jatuh cinta padamu
flashback,teringat
Fix,sudah pasti
first,pertama
filem,film
felnya,perasaannya
fel,perasaan
fantastic,luar biasa
fantasinya,fantasi yang
family,keluarga
fal,jatuh
failed,jelek
fail,gagal
faham,paham
even,walaupun
euy,ya
ETDAAH,Sudah
etapi,tapi
especialy,terutama
esih,Masih
Eri,Duri
Ereg,Dekat
eps,episode
epic,keren
Entong,Habis
Engkrek,bergegas
enggane Kowe Neng Kene,Andaikan kamu disini
enggane,Andaikan
enggal,Sebentar lagi
enggak,tidak
engak,tidak
ENELAN,Beneran
enek,mual
endingnya,bagian akhirnya
ending,bagian akhir
EMPRIT,sebal
empet,sebal
emng,memang
emg,memang
Ember,memang
emang,memang
Elo gue End,hubungan kita berakhir
ekspektasi,ekspetasi
eksaitit,menegangkan
eh,hai
Egin,Masih
edan,gila
eank,sayang
eang,sayang
dy,dia
dunk,kan
dumz,dong
dum,dong
duluw,dulu
duluan,dulu
duit'x,uangnya
duitx,uangnya
duitnya,uangnya
duit,uang
duh,aduh
dua2,keduanya
dtungu2,ditunggu
dtungu",ditunggu
dtungu,ditunggu
dtang,datang
drpd,daripada
dramanya,drama
dr pd,daripada
dr pada,daripada
dr,dari
dpt,dapat
dpn,depan
doyan,suka
Dopokan,bicara gosip
Dopok,Gosip
donlot,download
done,selesai
doktor2,dokter
doi,dia
doank,saja
doang,saja
dlm,dalam
dl,dulu
dkt,dekat
d'korbankan,dikorbankan
dkorbankan,dikorbankan
dkejar2,dikejar
dkejar",dikejar
Diwei,Diberi
Diwadani,dimarahi
ditungu2,ditunggu
ditungu",ditunggu
ditungu,ditunggu
ditonton,dilihat
ditingal,ditinggal
ditawarin,disuruh pilih
distract,ganggu
disit,Dulu
disangka2,disangka
disamain,disamakan
dir,kelereng
dipit,Dulu
diparkiran,ada di tempat parkir
diomeli,dimarahi
dinikmatin,dinikmati
Dingklik,Kursi kecil
Dina,Hari
dimin,Dulu
Dimans,Dimana
Dileg,Ditelan
dikuti,diikuti
Dikongkon,Disuruh
dikon,Disuruh
dikit2,sedikit sedikit
dikit,sedikit
dikep,menangkap
dikejar2,dikejar
dikejar",dikejar
dikasih,diberi
digebuk,dipukul
digantin,digantikan
difilm,di film
dibioskop,di teater
dibikin,dibuat
dibandingin,dibandingkan
dibanding,dibandingkan
dibalut,dilengkapi
diantara,di antara
di korbankan,dikorbankan
di bandingkan,dibandingkan
di bandingin,dibandingkan
Dhupak,Tendang
Dhewek,Sendiri
dh,sudah
dgr,dengar
dgn,dengan
dgan,dengan
dg ,dengan
dg,dengan
deyh,deh
dewe,sendiri
depreasy,depresi
Dengklang,Pincang
dengka,kok
dengerin,mendengarkan
denger,dengar
Deneng Neng Kono,Kok di situ
Deneng,Kok
Dempa,untuk apa
demn,wow
Deleng,Lihat
deket,dekat
dek,adik
deh,saja
deg-degan,berdebar keras
deg-deg an,berdebar keras
deg2an,berdebar keras
deg"an,berdebar keras
deg,berdebar
dedek,adik
dech,deh
debes,bagus
d'bandingkan,bagus
d'bandingin,dibandingkan
dbandingin,dibandingkan
Dayoh,Tamu
dating,kencan
dasyat,luar biasa
dapet,dapat
Danta,jelas
danserem,dan menakutkan
Damat,saya tidak peduli
dalem,dalam
dah,sudah
Dafuq,aduh
Dablongan,lelucon yang berlebihan
d korbankan,dikorbankan
d bandingkan,dibandingkan
d bandingin,dibandingkan
cz,karena
cwokz,pria
cwo,pria
cwekz,wanita
cwe,wanita
cvrht,cerita dari hati ke hati
cuy,saudara
cuxin,tidak dipedulikan
cute,bikin gemas
curhat,cerita dari hati ke hati
Curcol,cerita dari hati ke hati
Cupet,sedikit ilmu
CUNGGUH,Sungguh
CUMPAH,Sumpah
Cumbu,jinak
cuman,hanya
culture,budaya
Cukstaw,cukup tahu
Cucuk,mulut
cucu2x,cucu
cucu2nya,cucu
cucu"x,cucu
cucu"nya,cucu
Cuco,keren
cte,cerita
critanya,ceritanya
crita,cerita
cried,menangis
creepy,menjijikkan
cppe,capek
cppa,siapa
cpeg,capek
cpa,siapa
coz,karena
cowwyy,maaf
cowok,pria
cowo,pria
Couldi,pikiran kacau
cotba,banyak bicara
congress,kongres
congrats,selamat
confused,bingung
complete,lengkap
compeleted,lengkap
comelnya,banyak bicara sekali
comel,banyak bicara
comedy,komedi
col,keren
Cocot,Mulut
cmn,hanya
Cmiiw,benarkan saya jika saya salah
cliché,klise
Clebek,Kopi
clean,bersih
ckup,cukup
ckp,cukup
ckepp,cakep
Ciyus Miyapah,untuk apa
ciyus,serius
ciyh,sih
Cius Miapah,untuk apa
cius,serius
citer,cerita
cite,cerita
ciptain,ciptakan
Cipp,Sip
cinematografi,sinematografi
cina2,orang cina
Cilaka,Celaka
Ciblon,bermain air
cewek,wanita
cewe,wanita
cepet,cepat
Cepe deh,ya ampun
Cengkli,Botol Kecil
Cengis,Cabe rawit
CEMUNGUDH,Semangat
Cempuleg,astaga
Cekidot,silakan cek
Cebrik,Becek
CDMA,saya kesal dan malas
cape,kesal
Capcus,pergi
Cantug,Sampai
cantique,cantik
Cangkem,Mulut
cakep,keren
cabut,pergi
Cablak,banyak bicara
Cabe Cabean,cewek nakal
CA OONG CIH,Masa Bohong Sih
c8,chat
byk,banyak
bye,selamat tinggal
bwt,untuk
bwh,bawah
butul,tiba
but,tapi
bunuh-bunuhan,pembunuhan
bunuh bunuhan,pembunuhan
Bungah,Senang
bunda,ibu
bun,saudara
buat2,buat
buagus,bagus
btw,oh ya
BT,tidak dalam mood
bsa,bisa
bs,bisa
Brug,Jembatan
brosis,sahabat
Brengkolang,Lempar
BRB,segera kembali
br,baru
both,semuanya
BOT,Kembali ke pokok masalah
bosen2,bosan
bosen,bosan
bos,boss
boring,membosankan
boong,bohong
Bonyok,ayah dan ibu
Bondan,anak gila
bolom,belum
Boléng,kekurangan
bolehlah,boleh juga
bolehla,boleh juga
Boléd,Singkong
BOKIS,Bohong
Bokep,film porno
bokebb,film porno
bokap nyokap,ayah dan ibu
Boil,mobil
body,tubuh
Bodol,Rusak
bodo,bodoh
bocah,anak kecil
bobok,tidur
bobo,tidur
boaring,bosan
Boam,saya tidak peduli
bnyk,banyak
bnrnya,benarnya
bnr2,sungguh
bnr",sungguh
bnr,benar
bneran,memang benar
Blusukan,Masuk-masuk ke pelosok
Blusuk,Pelosok
blunder,kejelekan
blm,belum
bljr,belajar
Blijing,Telanjang bulat
blig,kaleng
Blekethir,Kaki tangan
bleg,Kaléng
Blas,Sama sekali
Blakasuta,Terus terang
bkn,bukan
bkin,buat
bkan,bukan
bk,bimbingan dan konseling
biz,habis
Biyung,ibu
biography,biografi
BINUN,Bingung
Bingits,sangat
Bingit,sangat
Binggo,sangat
bile,bila
bikin,membuat
bijakny,bijaknya
biarin,biarkan
bhkn,bahkan
bgtu,begitu
bgt,sangat
bgitu,begitu
bgini,seperti ini
bff,sahabat
BF,pacar
beut,sekali
beud,sangat
betol,betul
betoi,betul
beter,lebih baik
bete,tidak memiliki niat
best,bagus
Besengut,Cemberut
berkaca2,ingin menangis
berjamaah,bersama
beres,setelah
berbondong2,berbondong-bondong
berbarengan,bersama-sama
bentar,sebentar
bengkolang,lempar
beneran,sungguh
bener2,sungguh
bener",sungguh
bener bener,benar-benar
bener,benar
bene,Baru
bencong,banci
benar2,sungguh
benar",sungguh
ben,Biar
belom,belum
Belok Lepot,Kotor sekali
Belok,Kotor
Belik,Sumber mata air
Belet,Lumpur
belagu,bertingkah
bego,bodoh
beginian,seperti ini
begajulan,nakal
Bebeh,malas
bcs,karena
bayangin,bayangkan
bay,selamat tinggal
Bawon,Bagian
Batur,Pembantu
batle,perang
Batir,Teman
Basbang,sudah tidak jaman
BARYAW,Sabar dulu
baru2,baru
baru aja,baru saja
bareng,bersama
Bapuk,rusak
Baper,mudah tersinggung
bangwt,sekali
banget,sangat
bangedh,sangat
bang,kak
bandingin,membandingkan
Bandem,Melempar
Bal-balan,bermain bola
Bal,Bola
Bakul,penjual
Baks,rokok
bakalan,akan membuat
bakal,akan
Bais,habis
bahagian,bagian
bagusan,lebih bagus
bagus2,bagus bagus
bagus habis,sangat bagus
bagos,bagus
Baget,sangat keras kepala
Bagel,Lempar
baen,Saja
Badhogan,makanan
Badhog,Makan
Badai,luar biasa
bad,jelek
Bacin,Bau yang tidak sedap
babynya,bayinya
baby,bayi
Babaran,Melahirkan
Babar pisan,Sama sekali
babar blas,Sama sekali
babang,kak
ayuh,ayo
awit,Sejak
awesome,luar biasa
Awéhan,Suka memberi
Awéh,Memberi
award,penghargaan
Awan,Siang
awal2,awal
Awake Pada Lara,Badan sakit semua
Awak,Badan
audionya,suara dari
ato,atau
ATM,saat ini
Atis,dingin
at,di
asik,asyik
Aséng,mengajak
Asber,asal bicara
ASAP,secepat mungkin
Arip,mengantuk
are good,bagus
are, 
Arang,Jarang
Aran,Nama
apreciate,menghargai
appreciate,menghargai
aply,aplikasi
apik,bagus
apasal,apa daya
apape,apa pun
apan,apa
apalg,apalagi
anx,anak
Antob,Sendawa
Anjog,Sampai
Anjir,saya kagum
Angger,Kalau
angat2,sangat
angat,sangat
aneh2,aneh
aneh",aneh
Andi Lau,Antara Dilema dan pikiran kacau
and,dan
Ana,Ada
ampe,sampai
amp,dan
Amleng,sunyi
ambik,ambigu
Ambén,Tempat tidur
Amba,luas
amazing,luar biasa
amatd,sangat
amat,sangat
Amaca cihh,Ah Masa Sih
Amaca Cih,Ah Masa Sih
ama,sama
alow,halo
Alay,berlebihan
Alas,Hutan
alamat,astaga
Akyu,saya
akuwh,saya
aku,saya
Akoooh,saya
Akooh,saya
akku,saya
Akika,saya
Akéh,Banyak
aka,alias
ak,aku
Ajib,enak
aje,saja
ajalah,saja ya
ajala,saja lah
ajah,saja
Aja kaya kuwé,Jangan seperti itu
Aja,saja
agak,lumayan
again,lagi
after,setelah
Afgan,sadis
ae,saja
adlh,adalah
adl,adalah
adem,tenang
adek,adik
ade,ada
actualy,sebenarnya
action2,aksi
action",aksi
action,aksi
acting,akting
Acan,belum sama sekali
Absurd,aneh
abisan,habisnya
abis,habis
abies,habis
abang2,orang
Ababil,temperamental dan kekanakan
A.k.a,alias
nemenin,menemani
bangkek,bajingan
hayuk,ayo
